<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFKS,D,20231009,000000,17.4000000,17.8200000,17.2410000,17.5100000,48085100
AFKS,D,20231010,000000,17.6010000,17.6870000,17.3590000,17.4580000,30469400
AFKS,D,20231011,000000,17.5170000,17.5190000,17.1000000,17.1430000,32805500
AFKS,D,20231012,000000,17.1400000,17.5900000,17.0930000,17.5010000,30358100
AFKS,D,20231013,000000,17.5010000,17.5620000,17.3610000,17.4280000,18694200
AFKS,D,20231016,000000,17.4690000,17.6800000,17.4140000,17.6650000,21213100
AFKS,D,20231017,000000,17.6990000,17.7470000,17.5020000,17.6360000,24717900
AFKS,D,20231018,000000,17.6360000,17.6980000,17.3310000,17.5180000,29051900
AFKS,D,20231019,000000,17.5040000,17.5420000,17.3500000,17.4240000,22586100
AFKS,D,20231020,000000,17.4400000,17.8990000,17.4000000,17.8380000,57099800
AFKS,D,20231023,000000,17.8300000,17.9000000,17.6300000,17.7070000,21731400
AFKS,D,20231024,000000,17.7210000,17.8270000,17.6340000,17.7700000,12502800
AFKS,D,20231025,000000,17.7710000,17.8000000,17.6170000,17.6540000,14204800
AFKS,D,20231026,000000,17.6710000,17.7190000,17.4330000,17.4940000,22108400
AFKS,D,20231027,000000,17.5100000,17.6420000,17.2010000,17.3260000,38386700
AFKS,D,20231030,000000,17.4000000,17.4050000,17.1510000,17.2190000,20438200
AFKS,D,20231031,000000,17.1900000,17.2190000,16.9200000,17.0450000,25962000
AFKS,D,20231101,000000,17.0760000,17.1300000,16.8620000,16.9300000,20762400
AFKS,D,20231102,000000,16.9310000,17.1960000,16.2700000,16.4610000,214509100
AFKS,D,20231103,000000,16.4100000,16.6850000,16.3890000,16.6640000,48877900
AFKS,D,20231106,000000,16.6890000,16.8400000,16.5790000,16.7960000,20735900
AFKS,D,20231107,000000,16.7550000,16.9770000,16.6120000,16.9490000,35449700
AFKS,D,20231108,000000,16.9390000,16.9900000,16.6800000,16.7560000,22630600
AFKS,D,20231109,000000,16.7560000,16.8940000,16.6500000,16.8280000,23901200
AFKS,D,20231110,000000,16.7950000,16.9860000,16.7010000,16.8870000,15656600
AFKS,D,20231113,000000,16.9500000,17.0560000,16.8200000,16.8540000,17492700
AFKS,D,20231114,000000,16.8390000,16.8900000,16.3960000,16.5800000,41536800
AFKS,D,20231115,000000,16.5210000,16.7390000,16.4810000,16.7290000,20235700
AFKS,D,20231116,000000,16.7100000,16.7680000,16.4200000,16.4800000,19006800
AFKS,D,20231117,000000,16.4800000,16.6410000,16.1390000,16.5490000,32559300
AFKS,D,20231120,000000,16.5580000,16.7900000,16.5000000,16.5200000,13914700
AFKS,D,20231121,000000,16.5000000,16.7500000,16.4380000,16.5320000,30561400
AFKS,D,20231122,000000,16.5600000,16.9600000,16.5320000,16.8330000,26914200
AFKS,D,20231123,000000,16.8280000,16.8620000,16.4760000,16.5580000,11797000
AFKS,D,20231124,000000,16.5600000,16.7370000,16.3810000,16.6750000,23600900
AFKS,D,20231127,000000,16.6810000,16.7380000,16.3040000,16.4800000,14551400
AFKS,D,20231128,000000,16.4920000,16.4940000,16.2550000,16.4000000,21936100
AFKS,D,20231129,000000,16.4100000,16.4410000,16.2270000,16.3230000,15054300
AFKS,D,20231130,000000,16.3250000,16.3490000,16.0700000,16.1260000,14369700
AFKS,D,20231201,000000,16.1330000,16.2210000,15.9020000,15.9110000,13994400
AFKS,D,20231204,000000,15.8880000,16.0680000,15.7250000,15.9640000,18796800
AFKS,D,20231205,000000,15.9660000,16.2400000,15.8210000,15.9920000,24447500
AFKS,D,20231206,000000,16.0330000,16.0640000,15.4010000,15.4990000,26270300
AFKS,D,20231207,000000,15.5100000,15.9040000,15.4230000,15.6350000,29048800
AFKS,D,20231208,000000,15.6350000,15.8160000,15.5830000,15.8140000,11460900
AFKS,D,20231211,000000,15.8620000,15.8620000,15.4010000,15.4520000,16390400
AFKS,D,20231212,000000,15.4600000,15.5500000,15.2650000,15.3450000,23648500
AFKS,D,20231213,000000,15.3070000,15.5500000,15.2980000,15.5260000,12679100
AFKS,D,20231214,000000,15.5330000,15.6700000,15.1500000,15.1890000,19424500
AFKS,D,20231215,000000,15.1810000,15.7790000,15.1260000,15.7370000,27778100
AFKS,D,20231218,000000,15.7790000,15.9300000,15.4160000,15.5290000,39882100
AFKS,D,20231219,000000,15.5300000,15.6440000,15.4780000,15.5530000,19481900
AFKS,D,20231220,000000,15.5770000,16.0880000,15.5300000,16.0150000,32779200
AFKS,D,20231221,000000,16.0160000,16.1850000,15.8110000,15.8360000,40602500
AFKS,D,20231222,000000,15.8370000,16.0820000,15.8370000,16.0730000,17662300
AFKS,D,20231225,000000,16.0900000,16.1730000,16.0070000,16.0710000,18698500
AFKS,D,20231226,000000,16.0780000,16.1340000,16.0100000,16.0700000,14523000
AFKS,D,20231227,000000,16.0600000,16.1280000,16.0200000,16.0540000,14616400
AFKS,D,20231228,000000,16.0550000,16.1000000,15.8550000,15.8970000,19107700
AFKS,D,20231229,000000,15.9010000,16.3880000,15.8550000,16.3390000,18568500
AFKS,D,20240103,000000,16.2430000,16.4390000,16.2400000,16.3280000,9612200
AFKS,D,20240104,000000,16.3300000,16.4250000,16.2000000,16.4140000,13229200
AFKS,D,20240105,000000,16.4260000,16.4940000,16.2610000,16.3110000,8618200
AFKS,D,20240108,000000,16.3000000,16.5940000,16.3000000,16.5800000,15493000
AFKS,D,20240109,000000,16.5130000,16.5920000,16.4390000,16.5070000,16323500
AFKS,D,20240110,000000,16.4840000,16.5700000,16.4120000,16.4200000,11922700
AFKS,D,20240111,000000,16.4480000,16.8770000,16.3700000,16.8430000,31360200
AFKS,D,20240112,000000,16.8460000,17.0490000,16.6000000,16.7830000,33304100
AFKS,D,20240115,000000,16.7970000,16.9890000,16.7870000,16.9520000,15379600
AFKS,D,20240116,000000,16.9990000,17.0100000,16.7000000,16.8570000,16059800
