<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AGRO,D,20231009,000000,1160.2000000,1204.8000000,1157.8000000,1200.0000000,262825
AGRO,D,20231010,000000,1200.0000000,1266.2000000,1200.0000000,1261.0000000,778471
AGRO,D,20231011,000000,1261.0000000,1305.0000000,1236.0000000,1244.4000000,752635
AGRO,D,20231012,000000,1226.2000000,1315.0000000,1216.0000000,1305.6000000,746505
AGRO,D,20231013,000000,1306.0000000,1363.8000000,1305.8000000,1348.4000000,1128673
AGRO,D,20231016,000000,1358.0000000,1404.6000000,1352.0000000,1404.6000000,870538
AGRO,D,20231017,000000,1405.0000000,1419.2000000,1312.4000000,1370.6000000,1174275
AGRO,D,20231018,000000,1375.2000000,1412.4000000,1371.2000000,1394.0000000,529788
AGRO,D,20231019,000000,1390.2000000,1448.8000000,1367.0000000,1442.0000000,879204
AGRO,D,20231020,000000,1420.2000000,1551.8000000,1415.4000000,1536.8000000,2179066
AGRO,D,20231023,000000,1536.8000000,1553.6000000,1463.8000000,1545.4000000,1963681
AGRO,D,20231024,000000,1545.0000000,1674.6000000,1526.0000000,1650.0000000,3661039
AGRO,D,20231025,000000,1651.2000000,1679.2000000,1557.6000000,1601.6000000,2581856
AGRO,D,20231026,000000,1602.8000000,1613.6000000,1492.8000000,1502.2000000,1484461
AGRO,D,20231027,000000,1502.0000000,1540.0000000,1443.6000000,1513.2000000,1141520
AGRO,D,20231030,000000,1508.2000000,1535.0000000,1473.0000000,1498.6000000,521366
AGRO,D,20231031,000000,1498.0000000,1498.0000000,1433.2000000,1444.0000000,509532
AGRO,D,20231101,000000,1443.8000000,1464.0000000,1414.4000000,1426.0000000,390806
AGRO,D,20231102,000000,1426.2000000,1477.4000000,1407.0000000,1424.4000000,439142
AGRO,D,20231103,000000,1430.0000000,1437.0000000,1400.2000000,1419.4000000,264767
AGRO,D,20231106,000000,1419.4000000,1457.8000000,1415.0000000,1452.0000000,230478
AGRO,D,20231107,000000,1449.6000000,1597.0000000,1441.2000000,1583.6000000,2374894
AGRO,D,20231108,000000,1592.0000000,1593.2000000,1522.8000000,1542.6000000,1240986
AGRO,D,20231109,000000,1543.6000000,1564.6000000,1498.0000000,1542.4000000,688860
