<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,D,20231009,000000,74.9200000,75.4600000,74.2400000,74.9700000,11747060
ALRS,D,20231010,000000,75.0100000,77.4500000,74.8400000,77.3200000,27825700
ALRS,D,20231011,000000,77.4000000,78.0900000,75.5600000,75.8900000,29015780
ALRS,D,20231012,000000,75.6500000,77.1500000,75.1500000,76.8600000,11616570
ALRS,D,20231013,000000,76.9500000,77.1600000,76.1200000,76.7000000,11070640
ALRS,D,20231016,000000,77.0000000,77.4500000,76.6400000,76.9000000,18678160
ALRS,D,20231017,000000,76.8500000,77.3000000,76.4000000,77.0100000,33054920
ALRS,D,20231018,000000,73.3300000,73.6500000,72.7000000,72.8200000,40265550
ALRS,D,20231019,000000,72.6000000,72.7000000,71.8000000,72.2000000,23347530
ALRS,D,20231020,000000,72.1500000,72.3600000,71.4000000,72.0600000,12144450
ALRS,D,20231023,000000,72.0300000,73.0000000,71.8000000,72.6100000,14251040
ALRS,D,20231024,000000,72.7300000,72.7400000,72.0200000,72.3600000,7458450
ALRS,D,20231025,000000,72.2500000,72.2800000,71.4400000,71.5400000,9730150
ALRS,D,20231026,000000,71.4900000,71.4900000,70.4000000,70.7900000,14876460
ALRS,D,20231027,000000,71.0000000,71.5400000,70.3500000,70.7400000,12148700
ALRS,D,20231030,000000,70.5200000,70.5200000,69.8000000,70.0300000,10726630
ALRS,D,20231031,000000,70.1000000,70.5900000,69.7100000,69.9800000,11163610
ALRS,D,20231101,000000,69.9000000,70.7000000,69.8200000,70.5000000,9808280
ALRS,D,20231102,000000,70.5000000,71.7900000,70.1500000,70.8700000,15988990
ALRS,D,20231103,000000,71.0900000,71.3600000,69.7500000,70.0100000,13607190
ALRS,D,20231106,000000,70.1900000,70.5000000,69.9100000,70.1700000,5151630
ALRS,D,20231107,000000,70.1300000,70.8300000,69.9800000,70.3900000,6497230
ALRS,D,20231108,000000,70.4200000,71.9900000,70.1100000,71.6200000,16836030
ALRS,D,20231109,000000,71.6300000,71.7800000,70.9200000,71.3600000,6511660
ALRS,D,20231110,000000,71.1500000,71.4200000,70.2000000,70.3700000,7149540
ALRS,D,20231113,000000,70.2500000,71.1500000,68.0600000,68.5000000,18856400
ALRS,D,20231114,000000,68.0000000,68.3800000,66.9800000,68.0200000,19854990
ALRS,D,20231115,000000,68.0500000,69.2800000,67.2100000,68.6600000,19448610
ALRS,D,20231116,000000,68.6200000,68.8700000,66.6800000,66.9500000,12893710
ALRS,D,20231117,000000,66.6600000,66.9900000,65.6700000,66.6600000,16529350
ALRS,D,20231120,000000,66.7500000,66.9800000,66.0300000,66.3800000,7104480
ALRS,D,20231121,000000,66.3800000,67.2700000,65.9100000,67.0700000,7558270
ALRS,D,20231122,000000,67.2700000,67.4300000,66.5000000,66.6000000,5445230
ALRS,D,20231123,000000,66.3700000,66.8400000,66.0100000,66.1400000,4552350
ALRS,D,20231124,000000,66.1400000,66.6700000,65.5100000,66.0100000,8643500
ALRS,D,20231127,000000,65.9900000,66.2500000,64.9900000,65.4000000,8554320
ALRS,D,20231128,000000,65.6500000,66.9500000,64.2000000,66.5000000,13268770
ALRS,D,20231129,000000,66.5000000,67.7200000,65.4100000,66.7300000,18318870
ALRS,D,20231130,000000,66.7600000,66.9600000,65.0000000,65.1800000,11638000
ALRS,D,20231201,000000,65.1000000,65.8400000,64.6500000,65.0300000,7642120
ALRS,D,20231204,000000,64.9700000,66.1400000,64.4100000,65.2400000,10087500
ALRS,D,20231205,000000,65.5000000,66.9500000,65.2000000,66.3000000,7458000
ALRS,D,20231206,000000,66.5100000,66.5400000,64.7000000,65.8900000,22874660
ALRS,D,20231207,000000,65.7500000,67.7000000,65.4000000,67.5300000,22157960
ALRS,D,20231208,000000,67.7500000,70.9600000,67.7500000,70.9200000,42829740
ALRS,D,20231211,000000,71.0000000,72.2600000,68.7500000,70.6200000,49805260
ALRS,D,20231212,000000,70.8900000,72.6200000,69.6900000,72.1900000,29754010
ALRS,D,20231213,000000,72.1000000,73.1400000,71.1000000,71.4800000,19108790
ALRS,D,20231214,000000,71.4900000,71.8100000,69.1000000,69.4900000,17518140
ALRS,D,20231215,000000,69.3900000,71.8900000,69.3900000,71.2000000,14278470
ALRS,D,20231218,000000,71.0500000,73.3500000,70.9400000,72.5100000,29989370
ALRS,D,20231219,000000,72.6000000,72.9400000,71.6100000,72.3000000,16239610
ALRS,D,20231220,000000,72.2500000,73.1500000,71.9600000,72.1900000,14139990
ALRS,D,20231221,000000,71.8000000,72.3600000,70.3000000,71.2100000,14493990
ALRS,D,20231222,000000,71.2200000,72.1400000,70.5800000,70.9700000,16170340
ALRS,D,20231225,000000,71.0700000,71.5000000,70.0200000,70.0500000,10057380
ALRS,D,20231226,000000,70.0400000,70.7900000,69.2600000,70.3800000,13365850
ALRS,D,20231227,000000,70.3500000,70.3600000,69.7700000,69.8500000,9838890
ALRS,D,20231228,000000,69.8500000,70.2100000,69.1000000,69.5000000,9694910
ALRS,D,20231229,000000,69.5000000,69.9800000,69.2700000,69.5000000,3840190
ALRS,D,20240103,000000,69.5100000,71.3000000,69.2800000,71.2000000,8673690
ALRS,D,20240104,000000,71.0000000,71.2900000,70.5100000,71.2200000,6153700
ALRS,D,20240105,000000,71.3800000,71.7100000,70.8200000,71.4700000,5655840
ALRS,D,20240108,000000,71.4700000,71.6100000,71.0300000,71.1600000,3772070
ALRS,D,20240109,000000,71.1400000,72.0900000,70.4300000,71.9800000,11978330
ALRS,D,20240110,000000,72.0300000,72.7000000,71.3600000,71.4000000,8356330
ALRS,D,20240111,000000,71.5800000,71.9500000,71.2500000,71.7900000,6659760
ALRS,D,20240112,000000,72.0100000,74.3000000,71.8500000,73.7300000,20482700
ALRS,D,20240115,000000,74.0200000,76.2000000,74.0000000,75.0000000,33759710
ALRS,D,20240116,000000,75.1000000,75.1000000,73.3800000,73.9600000,25620140
