<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CBOM,D,20231009,000000,7.0000000,7.0380000,6.9480000,6.9960000,23990500
CBOM,D,20231010,000000,7.0060000,7.0390000,6.9650000,7.0110000,18618500
CBOM,D,20231011,000000,7.0060000,7.0970000,6.9920000,7.0410000,38364700
CBOM,D,20231012,000000,6.9920000,7.0290000,6.9270000,7.0090000,23366600
CBOM,D,20231013,000000,6.9560000,7.0380000,6.9560000,7.0190000,17963600
CBOM,D,20231016,000000,7.0190000,7.1070000,7.0090000,7.0990000,22416000
CBOM,D,20231017,000000,7.1080000,7.2710000,7.0930000,7.2660000,75146400
CBOM,D,20231018,000000,7.2580000,7.2880000,7.1850000,7.2070000,27834200
CBOM,D,20231019,000000,7.1840000,7.2400000,7.1440000,7.2170000,15015600
CBOM,D,20231020,000000,7.2150000,7.2300000,7.1740000,7.2130000,17187000
CBOM,D,20231023,000000,7.2230000,7.3850000,7.2050000,7.3380000,27756000
CBOM,D,20231024,000000,7.3380000,7.3820000,7.2640000,7.3490000,18815500
CBOM,D,20231025,000000,7.3530000,7.3530000,7.2490000,7.2690000,28075400
CBOM,D,20231026,000000,7.2780000,7.2940000,7.1710000,7.2000000,23773300
CBOM,D,20231027,000000,7.2000000,7.2200000,7.1370000,7.2030000,25633700
CBOM,D,20231030,000000,7.2130000,7.2390000,7.1640000,7.1940000,15076600
CBOM,D,20231031,000000,7.1940000,7.2330000,7.0960000,7.1930000,25479800
CBOM,D,20231101,000000,7.2000000,7.2990000,7.1670000,7.2420000,21857200
CBOM,D,20231102,000000,7.2340000,7.2690000,7.1940000,7.1980000,15814100
CBOM,D,20231103,000000,7.2020000,7.2280000,7.1600000,7.2070000,15361100
CBOM,D,20231106,000000,7.1980000,7.3160000,7.1850000,7.3120000,24820300
CBOM,D,20231107,000000,7.3020000,7.3600000,7.2890000,7.3110000,18969900
CBOM,D,20231108,000000,7.3020000,7.3330000,7.2780000,7.3120000,16993300
CBOM,D,20231109,000000,7.3210000,7.3500000,7.2590000,7.2920000,19144100
CBOM,D,20231110,000000,7.3010000,7.3900000,7.2700000,7.3760000,27767100
CBOM,D,20231113,000000,7.3830000,7.4500000,7.3610000,7.4430000,28202100
CBOM,D,20231114,000000,7.4430000,7.4530000,7.3290000,7.3410000,27847000
CBOM,D,20231115,000000,7.3410000,7.3490000,7.2620000,7.3460000,47099200
CBOM,D,20231116,000000,7.3460000,7.3560000,7.3040000,7.3250000,15111400
CBOM,D,20231117,000000,7.3160000,7.4610000,7.2810000,7.4550000,29424800
CBOM,D,20231120,000000,7.4640000,7.5000000,7.4110000,7.4480000,32327600
CBOM,D,20231121,000000,7.4500000,7.5160000,7.2990000,7.5160000,17868100
CBOM,D,20231122,000000,7.4970000,7.6780000,7.4760000,7.6650000,49904000
CBOM,D,20231123,000000,7.6600000,7.7160000,7.6210000,7.6420000,22628500
CBOM,D,20231124,000000,7.6990000,7.7220000,7.6410000,7.6650000,23943800
CBOM,D,20231127,000000,7.6650000,7.6960000,7.5350000,7.5740000,37020200
CBOM,D,20231128,000000,7.5720000,7.7000000,7.4810000,7.6710000,51776900
CBOM,D,20231129,000000,7.6730000,7.7230000,7.5610000,7.7000000,31253000
CBOM,D,20231130,000000,7.6790000,7.8000000,7.6600000,7.7670000,90009100
CBOM,D,20231201,000000,7.7500000,7.7780000,7.7350000,7.7550000,25367000
CBOM,D,20231204,000000,7.7500000,7.8700000,7.6100000,7.7360000,56483500
CBOM,D,20231205,000000,7.7390000,7.9000000,7.6530000,7.8870000,40163900
CBOM,D,20231206,000000,7.8880000,7.9070000,7.6110000,7.7800000,102436800
CBOM,D,20231207,000000,7.7520000,7.9350000,7.6310000,7.8770000,37016800
CBOM,D,20231208,000000,7.8770000,7.8780000,7.6600000,7.7140000,61813400
CBOM,D,20231211,000000,7.7200000,7.7200000,7.3000000,7.3670000,74422400
CBOM,D,20231212,000000,7.3600000,7.7450000,7.3580000,7.7300000,75239900
CBOM,D,20231213,000000,7.7100000,7.7450000,7.6650000,7.7010000,23549100
CBOM,D,20231214,000000,7.7010000,7.7840000,7.6000000,7.6140000,38814700
CBOM,D,20231215,000000,7.6170000,7.9330000,7.5530000,7.8980000,60850600
CBOM,D,20231218,000000,7.9000000,8.2210000,7.8460000,8.0960000,80341800
CBOM,D,20231219,000000,8.1030000,8.1450000,7.7690000,7.9560000,64106000
CBOM,D,20231220,000000,8.0180000,8.0800000,7.8760000,8.0000000,33873100
CBOM,D,20231221,000000,7.9910000,8.0070000,7.8060000,7.8390000,31579800
CBOM,D,20231222,000000,7.8330000,8.1000000,7.8150000,8.0760000,37159300
CBOM,D,20231225,000000,8.0760000,8.3330000,8.0600000,8.3060000,32250000
CBOM,D,20231226,000000,8.2960000,8.3080000,8.0180000,8.0700000,53727200
CBOM,D,20231227,000000,8.0700000,8.0940000,8.0390000,8.0600000,13016300
CBOM,D,20231228,000000,8.0400000,8.0570000,7.9180000,8.0170000,22089900
CBOM,D,20231229,000000,7.9900000,8.0550000,7.9660000,8.0550000,12715800
CBOM,D,20240103,000000,8.0350000,8.1450000,7.9830000,8.0920000,5625900
CBOM,D,20240104,000000,8.0920000,8.0930000,7.9900000,8.0220000,3386400
CBOM,D,20240105,000000,8.0270000,8.0880000,7.9400000,7.9750000,16126900
CBOM,D,20240108,000000,7.9780000,8.0640000,7.9650000,7.9890000,4734600
CBOM,D,20240109,000000,7.9260000,8.0400000,7.8910000,7.9260000,9459600
